sale_id,product_id,product_name,quantity,price,sale_date,customer_id
S1001,P001,Wireless Mouse,2,25.99,2026-06-01,C101
S1002,P002,Mechanical Keyboard,1,79.99,2026-06-02,C102
S1003,P003,Standing Desk,1,299.5,2026-06-03,C103
S1004,P004,Ergonomic Chair,2,199.99,2026-06-04,C104
S1005,P005,USB-C Hub,3,19.99,2026-06-05,C105
S1789645499096_1,P001,Wireless Mouse,2,25.99,2026-09-17,C_TEST
S1789645499194_1,P002,Mechanical Keyboard,1,79.99,2026-09-17,API_TEST
S1789645597209_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_5_0
S1789645597220_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_2_0
S1789645597211_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_28_0
S1789645597258_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_2_3
S1789645597276_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_13_3
S1789645597280_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_28_3
S1789645597300_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_2_6
S1789645597213_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_20_0
S1789645597315_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_13_6
S1789645597252_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_5_3
S1789645597328_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_3_3
S1789645597351_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_13_9
S1789645597359_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_28_9
S1789645597355_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_2_9
S1789645597387_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_3_6
S1789645597357_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_20_3
S1789645597207_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_10_0
S1789645597410_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_3_9
S1789645597416_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_2_12
S1789645597219_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_12_0
S1789645597434_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_10_3
S1789645597438_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_20_6
S1789645597461_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_3_12
S1789645597462_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_2_15
S1789645597481_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_20_9
S1789645597388_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_13_12
S1789645597489_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_3_15
S1789645597452_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_12_3
S1789645597502_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_2_18
S1789645597468_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_10_6
S1789645597520_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_3_18
S1789645597521_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_20_12
S1789645597544_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_10_9
S1789645597558_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_20_15
S1789645597546_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_12_6
S1789645597575_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_20_18
S1789645597576_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_10_12
S1789645597589_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_12_9
S1789645597518_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_13_15
S1789645597608_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_10_15
S1789645597620_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_13_18
S1789645597611_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_12_12
S1789645597635_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_10_18
S1789645597210_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_7_0
S1789645597656_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_12_15
S1789645597217_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_4_0
S1789645597667_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_7_3
S1789645597679_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_12_18
S1789645597688_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_4_3
S1789645597699_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_7_6
S1789645597374_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_5_6
S1789645597716_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_4_6
S1789645597727_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_7_9
S1789645597739_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_5_9
S1789645597215_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_9_0
S1789645597752_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_4_9
S1789645597770_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_7_12
S1789645597771_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_5_12
S1789645597793_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_9_3
S1789645597806_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_4_12
S1789645597810_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_7_15
S1789645597826_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_9_6
S1789645597837_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_7_18
S1789645597827_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_5_15
S1789645597855_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_9_9
S1789645597782_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_15_3
S1789645597868_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_5_18
S1789645597885_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_4_18
S1789645597896_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_15_6
S1789645597888_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_9_12
S1789645597950_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_15_9
S1789645597963_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_28_15
S1789645597979_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_27_3
S1789645597995_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_28_18
S1789645597998_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_15_12
S1789645598020_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_27_6
S1789645598031_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_9_18
S1789645598044_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_27_9
S1789645597997_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_8_3
S1789645597208_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_17_0
S1789645598091_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_8_6
S1789645598106_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_27_15
S1789645598107_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_17_3
S1789645598118_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_8_9
S1789645598139_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_27_18
S1789645598140_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_17_6
S1789645598151_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_8_12
S1789645598170_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_17_9
S1789645598182_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_8_15
S1789645598196_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_21_3
S1789645598215_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_17_15
S1789645598204_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_8_18
S1789645598238_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_21_6
S1789645598258_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_21_9
S1789645598276_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_21_12
S1789645598292_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_21_15
S1789645598306_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_23_3
S1789645598318_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_21_18
S1789645598327_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_1_3
S1789645598340_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_23_6
S1789645598354_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_1_6
S1789645598364_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_23_9
S1789645598373_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_1_9
S1789645598387_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_23_12
S1789645598401_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_1_12
S1789645598414_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_23_15
S1789645598424_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_1_15
S1789645598434_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_24_3
S1789645598435_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_23_18
S1789645598447_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_1_18
S1789645598465_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_24_6
S1789645598483_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_24_9
S1789645598500_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_24_12
S1789645598522_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_24_15
S1789645597224_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_14_0
S1789645598545_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_24_18
S1789645598554_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_14_3
S1789645598577_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_14_6
S1789645598599_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_14_9
S1789645598619_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_14_12
S1789645598638_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_14_15
S1789645598648_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_18_3
S1789645598661_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_14_18
S1789645598686_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_18_6
S1789645598705_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_18_9
S1789645598725_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_18_12
S1789645598741_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_18_15
S1789645597218_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_16_0
S1789645598759_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_18_18
S1789645598769_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_16_3
S1789645598788_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_16_6
S1789645598802_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_16_9
S1789645598818_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_16_12
S1789645598835_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_16_15
S1789645598851_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_16_18
S1789645598868_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_0_3
S1789645598885_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_0_6
S1789645598933_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_0_9
S1789645598950_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_0_12
S1789645598969_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_29_3
S1789645598987_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_0_18
S1789645599002_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_29_6
S1789645599022_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_29_9
S1789645599044_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_29_12
S1789645599063_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_29_15
S1789645599078_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_26_3
S1789645599087_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_29_18
S1789645599102_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_26_6
S1789645597212_1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_19_0
S1789645659369_374bbf,P004,Ergonomic Chair,1,199.99,2026-09-17,STRESS_13_0
S1789645659391_9cedc1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_0_0
S1789645659384_b65b8c,P003,Standing Desk,1,299.5,2026-09-17,STRESS_7_0
S1789645659372_51526e,P002,Mechanical Keyboard,1,79.99,2026-09-17,STRESS_21_0
S1789645659422_959ed8,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_13_2
S1789645659437_16abb7,P005,USB-C Hub,1,19.99,2026-09-17,STRESS_7_2
S1789645659369_2a9a00,P002,Mechanical Keyboard,1,79.99,2026-09-17,STRESS_6_0
S1789645659454_9de936,P004,Ergonomic Chair,1,199.99,2026-09-17,STRESS_21_2
S1789645659465_71715e,P003,Standing Desk,1,299.5,2026-09-17,STRESS_13_4
S1789645659368_633c2f,P003,Standing Desk,1,299.5,2026-09-17,STRESS_22_0
S1789645659378_ab79d4,P004,Ergonomic Chair,1,199.99,2026-09-17,STRESS_23_0
S1789645659490_23439e,P004,Ergonomic Chair,1,199.99,2026-09-17,STRESS_6_2
S1789645659513_041fd1,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_23_2
S1789645659515_7bae19,P005,USB-C Hub,1,19.99,2026-09-17,STRESS_22_2
S1789645659454_07a90f,P003,Standing Desk,1,299.5,2026-09-17,STRESS_0_2
S1789645659489_4f6df2,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_21_4
S1789645659537_dadb8d,P003,Standing Desk,1,299.5,2026-09-17,STRESS_23_4
S1789645659543_493d1b,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_6_4
S1789645659486_3a5a40,P002,Mechanical Keyboard,1,79.99,2026-09-17,STRESS_7_4
S1789645659563_9f2c8c,P005,USB-C Hub,1,19.99,2026-09-17,STRESS_0_4
S1789645659575_78c243,P002,Mechanical Keyboard,1,79.99,2026-09-17,STRESS_22_4
S1789645659380_0ef9c7,P004,Ergonomic Chair,1,199.99,2026-09-17,STRESS_3_0
S1789645659566_af4815,P005,USB-C Hub,1,19.99,2026-09-17,STRESS_23_6
S1789645659609_827c5b,P003,Standing Desk,1,299.5,2026-09-17,STRESS_21_6
S1789645659515_302fc2,P005,USB-C Hub,1,19.99,2026-09-17,STRESS_13_6
S1789645659636_c34f30,P003,Standing Desk,1,299.5,2026-09-17,STRESS_6_6
S1789645659637_fb9b4f,P004,Ergonomic Chair,1,199.99,2026-09-17,STRESS_7_6
S1789645659658_48d104,P005,USB-C Hub,1,19.99,2026-09-17,STRESS_21_8
S1789645659667_705910,P005,USB-C Hub,1,19.99,2026-09-17,STRESS_6_8
S1789645659637_56842d,P002,Mechanical Keyboard,1,79.99,2026-09-17,STRESS_23_8
S1789645659687_d19d17,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_7_8
S1789645659698_0855d5,P002,Mechanical Keyboard,1,79.99,2026-09-17,STRESS_21_10
S1789645659380_d9a005,P003,Standing Desk,1,299.5,2026-09-17,STRESS_12_0
S1789645659716_860772,P004,Ergonomic Chair,1,199.99,2026-09-17,STRESS_23_10
S1789645659718_8e345d,P002,Mechanical Keyboard,1,79.99,2026-09-17,STRESS_6_10
S1789645659726_96eb24,P003,Standing Desk,1,299.5,2026-09-17,STRESS_7_10
S1789645659635_1a3e6d,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_3_2
S1789645659743_104e42,P005,USB-C Hub,1,19.99,2026-09-17,STRESS_12_2
S1789645659751_b8e42d,P004,Ergonomic Chair,1,199.99,2026-09-17,STRESS_21_12
S1789645659658_d07ae3,P002,Mechanical Keyboard,1,79.99,2026-09-17,STRESS_13_8
S1789645659771_4f1afd,P004,Ergonomic Chair,1,199.99,2026-09-17,STRESS_6_12
S1789645659785_0d9f76,P005,USB-C Hub,1,19.99,2026-09-17,STRESS_7_12
S1789645659790_c010e9,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_23_12
S1789645659638_9811c7,P004,Ergonomic Chair,1,199.99,2026-09-17,STRESS_22_6
S1789645659377_8e1a5c,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_10_0
S1789645659818_318b77,P001,Wireless Mouse,1,25.99,2026-09-17,STRESS_21_14
S1789645659814_861c59,P003,Standing Desk,1,299.5,2026-09-17,STRESS_3_4
